Ordem,UF,Municipio ,Cidade,Admin,Escola,N_alunos,N_participantes,P_Participantes,NSE,NSE,Nivel_Docente,Media_30melhores,Media
2389,SP,SAO CAETANO DO SUL,interior,Estadual,EDGAR ALVES DA CUNHA PROFESSOR,106,58,54.72,M‚dio Alto,M‚dio ou M‚dio Alto,68.8,545.53,488.77
2390,SP,FRANCA,interior,Estadual,ANA MARIA JUNQUEIRA PROFA,142,73,51.41,M‚dio Alto,M‚dio ou M‚dio Alto,59.1,558.05,488.76
2391,SP,JUQUIA,interior,Privada,INSTITUTO LOGOS DE EDUCACAO PRESBITERIANO,11,11,100,Alto,Alto ou Muito Alto,38.5,NaN,488.75
2392,SP,PRAIA GRANDE,interior,Estadual,AUGUSTO PAES D AVILA REVERENDO,36,20,55.56,M‚dio,M‚dio ou M‚dio Alto,69.3,NaN,488.69
2393,SP,DRACENA,interior,Estadual,9 DE JULHO,67,42,62.69,M‚dio Alto,M‚dio ou M‚dio Alto,71.4,523.91,488.66
2394,SP,PIRASSUNUNGA,interior,Privada,FERNANDO COSTA DR COLEGIO,12,9,75,M‚dio Alto,M‚dio ou M‚dio Alto,35.3,NaN,488.58
2395,SP,SAO VICENTE,interior,Estadual,ZULMIRA DE ALMEIDA LAMBERT PROFESSORA,30,19,63.33,M‚dio Alto,M‚dio ou M‚dio Alto,56,NaN,488.56
2396,SP,RIBEIRAO PIRES,interior,Estadual,MARIA PASTANA MENATO PROFESSORA,151,85,56.29,M‚dio Alto,M‚dio ou M‚dio Alto,56.2,567.27,488.53
2397,SP,SAO PAULO,capital,Estadual,FADLO HAIDAR,129,67,51.94,M‚dio Alto,M‚dio ou M‚dio Alto,71.1,547.38,488.43
2398,SP,MOJI MIRIM,interior,Estadual,OSCAR RODRIGUES ALVES DR,93,61,65.59,M‚dio Alto,M‚dio ou M‚dio Alto,57.6,541.44,488.42
2399,SP,AVARE,interior,Estadual,COTA LEONEL DONA,108,54,50,M‚dio,M‚dio ou M‚dio Alto,60.9,533.3,488.39
2400,SP,BRAGANCA PAULISTA,interior,Estadual,JOSE NANTALA BADUE PROFESSOR,174,87,50,M‚dio Alto,M‚dio ou M‚dio Alto,63.7,556.17,488.36
2401,SP,AMERICANA,interior,Estadual,ANTONIO ZANAGA PREFEITO,140,94,67.14,M‚dio Alto,M‚dio ou M‚dio Alto,49.8,544.23,488.35
2402,SP,SAO JOSE DO RIO PARDO,interior,Privada,COLEGIO DA FUNDACAO DE SAO JOSE DO RIO PARDO,22,12,54.55,M‚dio Alto,M‚dio ou M‚dio Alto,82.9,NaN,488.3
2403,SP,PRAIA GRANDE,interior,Privada,COLEGIO PITECO DE EDUCACAO INFANTIL E FUNDAMENTAL,14,8,57.14,Alto,Alto ou Muito Alto,47.4,NaN,488.29
2404,SP,MIRANDOPOLIS,interior,Estadual,EDGAR RAIMUNDO DA COSTA DR,81,48,59.26,M‚dio Alto,M‚dio ou M‚dio Alto,61.1,524.87,488.18
2405,SP,BARRINHA,interior,Estadual,JOSE LUIZ DE SIQUEIRA PROFESSOR,237,128,54.01,M‚dio,M‚dio ou M‚dio Alto,73.3,574.79,488.18
2406,SP,OSASCO,interior,Estadual,NEUZA DE OLIVEIRA PREVIDE PROFESSORA,160,89,55.63,M‚dio Alto,M‚dio ou M‚dio Alto,75.5,566.63,488.16
2407,SP,SAO BERNARDO DO CAMPO,interior,Estadual,SERGIO VIEIRA DE MELLO DIPLOMATA,106,53,50,M‚dio Alto,M‚dio ou M‚dio Alto,79.9,526.83,488.12
2408,SP,ITATIBA,interior,Estadual,MANUEL EUCLIDES DE BRITO,127,70,55.12,M‚dio Alto,M‚dio ou M‚dio Alto,57.2,546.16,488.1
2409,SP,GUAPIARA,interior,Estadual,JOAO ANTUNES ALEXANDRE,59,31,52.54,M‚dio,M‚dio ou M‚dio Alto,40.2,492.6,488.08
2410,SP,PRESIDENTE EPITACIO,interior,Estadual,18 DE JUNHO,167,89,53.29,M‚dio,M‚dio ou M‚dio Alto,87.2,549.2,488.07
2411,SP,BATATAIS,interior,Estadual,MARIA VIRGINIA MANSUR BIAGI PROFESSORA,104,84,80.77,M‚dio Alto,M‚dio ou M‚dio Alto,68.6,550.17,488.04
2412,SP,COTIA,interior,Estadual,VINICIUS DE MORAES,96,48,50,M‚dio Alto,M‚dio ou M‚dio Alto,73.5,542.3,488
2413,SP,FRANCA,interior,Estadual,ANGELO SCARABUCCI,63,36,57.14,M‚dio Alto,M‚dio ou M‚dio Alto,59.4,512.51,487.99
2414,SP,IGUAPE,interior,Estadual,NARCISO DE MEDEIROS ENG AGRONOMO ETE,20,17,85,M‚dio,M‚dio ou M‚dio Alto,42.9,NaN,487.94
2415,SP,RIBEIRAO PIRES,interior,Estadual,JOAO RONCON,83,50,60.24,M‚dio Alto,M‚dio ou M‚dio Alto,46.2,527.08,487.84
2416,SP,PARANAPUA,interior,Estadual,JOSE RIBEIRO PREFEITO,38,20,52.63,M‚dio,M‚dio ou M‚dio Alto,70.1,NaN,487.81
2417,SP,FRANCA,interior,Estadual,HELIO PALERMO PROF,133,83,62.41,M‚dio Alto,M‚dio ou M‚dio Alto,84.9,551.37,487.74
2418,SP,CAMPINAS,interior,Estadual,VITOR MEIRELLES,125,71,56.8,M‚dio Alto,M‚dio ou M‚dio Alto,66.3,546.97,487.72
2419,SP,SAO JOSE DOS CAMPOS,interior,Estadual,FRANCISCO PEREIRA DA SILVA PROFESSOR,25,18,72,M‚dio Alto,M‚dio ou M‚dio Alto,75,NaN,487.66
2420,SP,JUNDIAI,interior,Estadual,DIOGENES DUARTE PAES,130,65,50,M‚dio Alto,M‚dio ou M‚dio Alto,70.8,543.43,487.62
2421,SP,OURINHOS,interior,Estadual,MARIA DO CARMO ARRUDA DA SILVA PROFESSORA,47,25,53.19,M‚dio Alto,M‚dio ou M‚dio Alto,70.2,NaN,487.61
2422,SP,CASA BRANCA,interior,Estadual,FRANCISCO NOGUEIRA DE LIMA DR ETE,197,105,53.3,M‚dio Alto,M‚dio ou M‚dio Alto,56,558.04,487.6
2423,SP,SAO JOAO DA BOA VISTA,interior,Estadual,CRISTIANO OSORIO DE OLIVEIRA CORONEL,64,35,54.69,M‚dio Alto,M‚dio ou M‚dio Alto,52.4,507.34,487.6
2424,SP,SOROCABA,interior,Estadual,JOSE ODIN DE ARRUDA PROFESSOR,66,48,72.73,M‚dio Alto,M‚dio ou M‚dio Alto,77.1,534.22,487.57
2425,SP,ITAPEVA,interior,Estadual,JOSE VASQUES FERRARI PROFESSOR,37,25,67.57,M‚dio Baixo,M‚dio Baixo,60.8,NaN,487.56
2426,SP,TABATINGA,interior,Estadual,ABDALLA MIGUEL,114,61,53.51,M‚dio Alto,M‚dio ou M‚dio Alto,84.3,542.54,487.56
2427,SP,SANTA BARBARA D OESTE,interior,Estadual,ULISSES DE OLIVEIRA VALENTE PROF,145,83,57.24,M‚dio Alto,M‚dio ou M‚dio Alto,72.2,546.64,487.53
2428,SP,OSASCO,interior,Estadual,GLORIA AZEDIA BONETTI PROFESSORA,78,50,64.1,M‚dio Alto,M‚dio ou M‚dio Alto,34.9,528.34,487.53
2429,SP,OSVALDO CRUZ,interior,Estadual,OSVALDO MARTINS,64,42,65.63,M‚dio Alto,M‚dio ou M‚dio Alto,62.5,518.26,487.5
2430,SP,CASTILHO,interior,Estadual,ARMEL MIRANDA,205,122,59.51,M‚dio,M‚dio ou M‚dio Alto,54.4,564.47,487.49
2431,SP,TATUI,interior,Estadual,JOSE CELSO DE MELLO PROF,101,51,50.5,M‚dio Alto,M‚dio ou M‚dio Alto,49.3,525.45,487.37
2432,SP,URANIA,interior,Estadual,AKIO SATORU PROFESSOR,101,65,64.36,M‚dio,M‚dio ou M‚dio Alto,55.7,547.63,487.33
2433,SP,PRESIDENTE PRUDENTE,interior,Estadual,HUGO MIELE PROFESSOR,61,38,62.3,M‚dio Alto,M‚dio ou M‚dio Alto,62.5,516.07,487.33
2434,SP,MARILIA,interior,Estadual,BALTAZAR DE GODOY MOREIRA PROF,250,137,54.8,M‚dio Alto,M‚dio ou M‚dio Alto,48.6,570.49,487.31
2435,SP,CAMPINAS,interior,Estadual,DORA MARIA MACIEL DE CASTRO KANSO PROFESSORA,35,18,51.43,M‚dio Alto,M‚dio ou M‚dio Alto,51.7,NaN,487.3
2436,SP,CEDRAL,interior,Estadual,CARMO TURANO VOLUNTARIO,83,47,56.63,M‚dio Alto,M‚dio ou M‚dio Alto,56,533.67,487.24
2437,SP,SANTO ANDRE,interior,Estadual,JOAO PAULO I PAPA,225,115,51.11,M‚dio Alto,M‚dio ou M‚dio Alto,77.1,563.62,487.17
2438,SP,CAMPINAS,interior,Privada,FUTURA ESCOLA DE EDUCACAO BASICA,11,6,54.55,Alto,Alto ou Muito Alto,73,NaN,487.15
2439,SP,TUPA,interior,Estadual,INDIA VANUIRE,147,88,59.86,M‚dio Alto,M‚dio ou M‚dio Alto,78.1,549.15,487.15
2440,SP,ARARAQUARA,interior,Estadual,JOAO PIRES DE CAMARGO DR,105,60,57.14,M‚dio Alto,M‚dio ou M‚dio Alto,60,542.79,487.08
2441,SP,EMBU-GUACU,interior,Estadual,PASCHOAL CARLOS MAGNO,258,147,56.98,M‚dio Alto,M‚dio ou M‚dio Alto,60,575.43,487.07
2442,SP,PIRASSUNUNGA,interior,Estadual,PIRASSUNUNGA,117,63,53.85,M‚dio Alto,M‚dio ou M‚dio Alto,60.8,537.99,487.07
2443,SP,MONTE ALTO,interior,Estadual,JEREMIAS DE PAULA EDUARDO,104,60,57.69,M‚dio Alto,M‚dio ou M‚dio Alto,71.9,536.22,486.98
2444,SP,PIRACAIA,interior,Estadual,JOAO DE MORAES GOES,164,100,60.98,M‚dio,M‚dio ou M‚dio Alto,57.3,560.2,486.97
2445,SP,AMPARO,interior,Estadual,RANGEL PESTANA,78,41,52.56,M‚dio Alto,M‚dio ou M‚dio Alto,56.7,519.42,486.96
2446,SP,SAO PAULO,capital,Estadual,AMADOR E CATHARINA SAPORITO AUGUSTO,129,65,50.39,M‚dio Alto,M‚dio ou M‚dio Alto,53.3,550.75,486.95
2447,SP,VALPARAISO,interior,Privada,GERACAO VALPARAISO COLEGIO,14,12,85.71,M‚dio Alto,M‚dio ou M‚dio Alto,47.4,NaN,486.88
2448,SP,GUARULHOS,interior,Estadual,ANTONIO DE RE VEREADOR,243,147,60.49,M‚dio Alto,M‚dio ou M‚dio Alto,53.2,577.57,486.86
2449,SP,LOUVEIRA,interior,Estadual,ODILON LEITE FERRAZ,131,69,52.67,M‚dio Alto,M‚dio ou M‚dio Alto,61.7,539.68,486.86
2450,SP,SAO MIGUEL ARCANJO,interior,Estadual,MARIA ELISA DE OLIVEIRA PROFA,99,50,50.51,M‚dio,M‚dio ou M‚dio Alto,51.6,524.42,486.83
2451,SP,SUMARE,interior,Estadual,VITO CARMINE CERBASI PROFESSOR,57,46,80.7,M‚dio Alto,M‚dio ou M‚dio Alto,70.1,523.43,486.78
2452,SP,TATUI,interior,Estadual,DEOCLES VIEIRA DE CAMARGO PROF,99,67,67.68,M‚dio Alto,M‚dio ou M‚dio Alto,50,544.38,486.77
2453,SP,MAGDA,interior,Estadual,MANOEL DOS SANTOS,35,22,62.86,M‚dio,M‚dio ou M‚dio Alto,71.4,NaN,486.72
2454,SP,SAO BERNARDO DO CAMPO,interior,Estadual,ADAIL LUIZ MILLER DOUTOR,69,45,65.22,M‚dio Alto,M‚dio ou M‚dio Alto,74.1,521.56,486.67
2455,SP,PEDREIRA,interior,Estadual,JOAO ALVARENGA PROF,86,53,61.63,M‚dio Alto,M‚dio ou M‚dio Alto,61.4,529.73,486.66
2456,SP,VINHEDO,interior,Estadual,ISRAEL SCHOBA PROFESSOR,145,75,51.72,M‚dio Alto,M‚dio ou M‚dio Alto,64.5,545.72,486.63
2457,SP,MAIRIPORA,interior,Estadual,NIDE ZAIM CARDOSO PROFA,97,65,67.01,M‚dio Alto,M‚dio ou M‚dio Alto,54.2,540.01,486.62
2458,SP,SAO PAULO,capital,Privada,ANNA TAVARES COLEGIO EIEPG,26,17,65.38,Alto,Alto ou Muito Alto,55.9,NaN,486.59
2459,SP,SANTA BARBARA D OESTE,interior,Estadual,NEUZA MARIA NAZATTO DE CARVALHO PROFA,124,62,50,M‚dio Alto,M‚dio ou M‚dio Alto,70.1,544.09,486.52
2460,SP,RIBEIRAO PIRES,interior,Estadual,CASEMIRO DA ROCHA SENADOR,153,79,51.63,M‚dio Alto,M‚dio ou M‚dio Alto,27.7,561.12,486.51
2461,SP,SANTO ANDRE,interior,Estadual,JOSE AUGUSTO DE AZEVEDO ANTUNES PROFESSOR,72,39,54.17,M‚dio Alto,M‚dio ou M‚dio Alto,39.4,512.6,486.49
2462,SP,URUPES,interior,Privada,CHAFIK SAAB COLEGIO,28,27,96.43,M‚dio Alto,M‚dio ou M‚dio Alto,78.6,NaN,486.42
2463,SP,VARZEA PAULISTA,interior,Estadual,TIBURCIO ESTEVAM DE SIQUEIRA,38,20,52.63,M‚dio Alto,M‚dio ou M‚dio Alto,43.3,NaN,486.32
2464,SP,VARGEM GRANDE PAULISTA,interior,Estadual,ORLANDO ELLERO PROFESSOR,63,42,66.67,M‚dio Alto,M‚dio ou M‚dio Alto,46.9,514.6,486.24
2465,SP,BAURU,interior,Estadual,CHRISTINO CABRAL PROF,259,141,54.44,M‚dio Alto,M‚dio ou M‚dio Alto,48.6,574.58,486.16
2466,SP,PAULINIA,interior,Privada,ADVENTISTA DE PAULINIA COLEGIO,15,14,93.33,Alto,Alto ou Muito Alto,59.5,NaN,486.15
2467,SP,ITAPOLIS,interior,Estadual,JOAO CAETANO DA ROCHA PROF,40,25,62.5,M‚dio,M‚dio ou M‚dio Alto,63.8,NaN,486.01
2468,SP,JANDIRA,interior,Privada,SAGRADA FAMILIA ESCOLA,20,11,55,Alto,Alto ou Muito Alto,61.5,NaN,486
2469,SP,SAO PAULO,capital,Privada,PRO CONHECER ESCOLA,12,11,91.67,Alto,Alto ou Muito Alto,81.4,NaN,485.92
2470,SP,TABOAO DA SERRA,interior,Estadual,ADENILSON DOS SANTOS FRANCO PROFESSOR,93,60,64.52,M‚dio Alto,M‚dio ou M‚dio Alto,29.1,538.22,485.92
2471,SP,DIADEMA,interior,Estadual,JOSE MARCATO,237,133,56.12,M‚dio Alto,M‚dio ou M‚dio Alto,52.2,568.07,485.89
2472,SP,CAJOBI,interior,Estadual,ELMIRA GOULART PEREIRA PROFESSORA,87,52,59.77,M‚dio,M‚dio ou M‚dio Alto,70,536.16,485.87
2473,SP,CAFELANDIA,interior,Estadual,HELCY MOREIRA MARTINS AGUIAR PROFA ETE,59,53,89.83,M‚dio Alto,M‚dio ou M‚dio Alto,69.8,543.1,485.83
2474,SP,SAO ROQUE,interior,Estadual,GERMANO NEGRINI PROFESSOR,224,112,50,M‚dio,M‚dio ou M‚dio Alto,74.3,562.08,485.8
2475,SP,SAO PAULO,capital,Privada,SOUZA GOUVEIA COLEGIO,23,21,91.3,M‚dio Alto,M‚dio ou M‚dio Alto,61.5,NaN,485.79
2476,SP,TAUBATE,interior,Estadual,AMACIO MAZZAROPI,199,116,58.29,M‚dio Alto,M‚dio ou M‚dio Alto,63.2,563.08,485.66
2477,SP,MIRASSOL,interior,Estadual,TUFI MADI,107,56,52.34,M‚dio Alto,M‚dio ou M‚dio Alto,62.2,529.55,485.65
2478,SP,SANTA SALETE,interior,Estadual,FRANCISCO MOLINA MOLINA ESCOLA ESTADUAL,20,13,65,M‚dio Alto,M‚dio ou M‚dio Alto,34.3,NaN,485.65
2479,SP,CAJURU,interior,Estadual,GALDINO DE CASTRO,136,71,52.21,M‚dio,M‚dio ou M‚dio Alto,74.3,548.28,485.62
2480,SP,OSASCO,interior,Estadual,JOSE LIBERATTI PROFESSOR,222,127,57.21,M‚dio Alto,M‚dio ou M‚dio Alto,62.9,567.04,485.54
2481,SP,CACHOEIRA PAULISTA,interior,Estadual,MARCOS UCHOAS DOS SANTOS PENCHEL PROF ETEC,117,78,66.67,M‚dio Alto,M‚dio ou M‚dio Alto,77.3,543.12,485.52
2482,SP,SEBASTIANOPOLIS DO SUL,interior,Estadual,GENTILA GUIZZI PINATTI,40,26,65,M‚dio Alto,M‚dio ou M‚dio Alto,74.3,NaN,485.48
2483,SP,SAO JOSE DOS CAMPOS,interior,Estadual,ZILAH FERREIRA VIAGI PASSARELLI DE CAMPOS PROFESSORA,134,68,50.75,M‚dio Alto,M‚dio ou M‚dio Alto,48.8,544.68,485.38
2484,SP,COSMOPOLIS,interior,Estadual,IVETE SALA DE QUEIROZ PROFESSORA,30,21,70,M‚dio,M‚dio ou M‚dio Alto,58.3,NaN,485.35
2485,SP,CUBATAO,interior,Estadual,ARY DE OLIVEIRA GARCIA PROFESSOR,457,241,52.74,M‚dio Alto,M‚dio ou M‚dio Alto,61.1,572.48,485.27
2486,SP,SANTOS,interior,Estadual,LUIZA MACUCO DONA,146,94,64.38,M‚dio Alto,M‚dio ou M‚dio Alto,58.3,563.01,485.24
2487,SP,TORRINHA,interior,Estadual,LAZARO FRANCO DE MORAES,77,40,51.95,M‚dio Alto,M‚dio ou M‚dio Alto,74.4,522.22,485.22
2488,SP,PIRACICABA,interior,Estadual,JORGE COURY DOUTOR,101,57,56.44,M‚dio Alto,M‚dio ou M‚dio Alto,48.2,528.43,485.19
2489,SP,PAULINIA,interior,Estadual,NUCLEO HABITACIONAL JOSE PAULINO NOGUEIRA,180,94,52.22,M‚dio Alto,M‚dio ou M‚dio Alto,61.7,548.93,485.18
2490,SP,CAMPINAS,interior,Estadual,MARIA JULIETA DE GODOI CARTEZANI PROFESSORA,94,50,53.19,M‚dio Alto,M‚dio ou M‚dio Alto,60.9,528.98,485.13
2491,SP,FERNANDOPOLIS,interior,Estadual,ARMELINDO FERRARI,85,43,50.59,M‚dio Alto,M‚dio ou M‚dio Alto,75.2,515.29,485.12
2492,SP,BIRIGUI,interior,Estadual,GERACINA DE MENEZES SANCHES PROFESSORA,31,20,64.52,M‚dio Alto,M‚dio ou M‚dio Alto,54.2,NaN,485.12
2493,SP,SANTA CRUZ DAS PALMEIRAS,interior,Estadual,LAURO BARREIRA,158,79,50,M‚dio,M‚dio ou M‚dio Alto,65.8,543.41,485.11
2494,SP,AMERICANA,interior,Estadual,RISOLETA LOPES ARANHA PROFESSORA,61,32,52.46,M‚dio Alto,M‚dio ou M‚dio Alto,63.8,493.91,485.03
2495,SP,RANCHARIA,interior,Estadual,FRANCISCO FRANCO DEPUTADO ETE,98,69,70.41,M‚dio,M‚dio ou M‚dio Alto,54.1,557.56,485.01
2496,SP,SAO PAULO,capital,Estadual,PEDRO FONSECA PROFESSOR,37,22,59.46,M‚dio Alto,M‚dio ou M‚dio Alto,70.8,NaN,484.95
2497,SP,SAO PAULO,capital,Estadual,JOAQUIM ADOLFO DE ARAUJO PROFESSOR,36,22,61.11,M‚dio Alto,M‚dio ou M‚dio Alto,42.3,NaN,484.95
2498,SP,SAO JOAQUIM DA BARRA,interior,Privada,IANG TAO ESCOLA DE ENSINO FUNDAMENTAL,10,8,80,Alto,Alto ou Muito Alto,52.4,NaN,484.94
2499,SP,SUD MENNUCCI,interior,Estadual,CICERO CASTILHO CUNHA,78,58,74.36,M‚dio,M‚dio ou M‚dio Alto,76.2,535.44,484.84
2500,SP,SAO CARLOS,interior,Estadual,JESUINO DE ARRUDA,327,221,67.58,M‚dio Alto,M‚dio ou M‚dio Alto,64.2,577.36,484.83
2501,SP,SAO JOSE DOS CAMPOS,interior,Estadual,ILZA IRMA MOELLER COPPIO PROFESSORA,29,24,82.76,M‚dio,M‚dio ou M‚dio Alto,63.1,NaN,484.74
2502,SP,FERRAZ DE VASCONCELOS,interior,Estadual,CARLINDO REIS,234,124,52.99,M‚dio Alto,M‚dio ou M‚dio Alto,52.3,561.51,484.74
2503,SP,EMBU DAS ARTES,interior,Estadual,ODETE MARIA DE FREITAS,146,83,56.85,M‚dio Alto,M‚dio ou M‚dio Alto,56.5,555.19,484.72
2504,SP,ITAPECERICA DA SERRA,interior,Estadual,ANGENOR DE OLIVEIRA POETA,39,21,53.85,M‚dio Alto,M‚dio ou M‚dio Alto,71.2,NaN,484.68
2505,SP,PARAIBUNA,interior,Estadual,CERQUEIRA CESAR DOUTOR,44,23,52.27,M‚dio,M‚dio ou M‚dio Alto,60.6,NaN,484.6
2506,SP,ARACATUBA,interior,Privada,SESI 281 CENTRO EDUCACIONAL,18,15,83.33,Alto,Alto ou Muito Alto,61.5,NaN,484.58
2507,SP,UBATUBA,interior,Estadual,SUELI APARECIDA FIGUEIRA DOS SANTOS PROFESSORA,50,25,50,M‚dio,M‚dio ou M‚dio Alto,44.3,NaN,484.44
2508,SP,SAO PAULO,capital,Estadual,DUARTE LEOPOLDO E SILVA DOM,264,136,51.52,M‚dio Alto,M‚dio ou M‚dio Alto,52.4,570.98,484.41
2509,SP,PIRAPOZINHO,interior,Estadual,LUCIA SILVA DE ASSUMPCAO,149,93,62.42,M‚dio Alto,M‚dio ou M‚dio Alto,82,553.85,484.35
2510,SP,SAO PAULO,capital,Privada,OLIVEIRA TELLES COLEGIO UNIDADE III,68,37,54.41,Alto,Alto ou Muito Alto,76.4,507.43,484.35
2511,SP,SAO PAULO,capital,Privada,SOUZA LOPES COLEGIO,26,14,53.85,Alto,Alto ou Muito Alto,64.7,NaN,484.24
2512,SP,MARILIA,interior,Estadual,AMILCARE MATTEI PROF,45,30,66.67,M‚dio Alto,M‚dio ou M‚dio Alto,44.1,484.18,484.18
2513,SP,BARRA BONITA,interior,Estadual,MARIA LUIZA FERREIRA ZAMBELLO PROFESSORA,52,38,73.08,M‚dio Alto,M‚dio ou M‚dio Alto,59.7,511.9,484.12
2514,SP,NHANDEARA,interior,Estadual,PEDRO PEDROSA,87,57,65.52,M‚dio Alto,M‚dio ou M‚dio Alto,87.1,531.4,484.09
2515,SP,CERQUEIRA CESAR,interior,Estadual,JOSE LEITE PINHEIRO PROFESSOR,107,56,52.34,M‚dio Alto,M‚dio ou M‚dio Alto,56.3,541.35,484
2516,SP,ITAPOLIS,interior,Estadual,ANTONIO MORAES BARROS DR,173,93,53.76,M‚dio,M‚dio ou M‚dio Alto,72.5,565.16,483.97
2517,SP,MARTINOPOLIS,interior,Estadual,ALBERTO SANTOS DUMONT,81,53,65.43,M‚dio Alto,M‚dio ou M‚dio Alto,54.8,527.41,483.88
2518,SP,SAO PAULO,capital,Estadual,ZULMIRA CAVALHEIRO FAUSTINO DONA,73,48,65.75,M‚dio Alto,M‚dio ou M‚dio Alto,48.2,519.31,483.8
2519,SP,SAO CAETANO DO SUL,interior,Estadual,JOANA MOTTA PROFESSORA,42,33,78.57,M‚dio Alto,M‚dio ou M‚dio Alto,56,491.82,483.76
2520,SP,SOROCABA,interior,Privada,LICEU PEDRO II,31,20,64.52,Alto,Alto ou Muito Alto,64.3,NaN,483.51
2521,SP,GUARA,interior,Privada,EVOLUCAO COLEGIO,16,15,93.75,M‚dio Alto,M‚dio ou M‚dio Alto,75.4,NaN,483.49
2522,SP,MONTE AZUL PAULISTA,interior,Estadual,NENA GIANNASI BUCK PROFESSORA,136,78,57.35,M‚dio Alto,M‚dio ou M‚dio Alto,64,550.62,483.46
2523,SP,JUNDIAI,interior,Estadual,ADONIRO LADEIRA PROFESSOR,114,63,55.26,M‚dio Alto,M‚dio ou M‚dio Alto,55.8,541.81,483.42
2524,SP,EMBU-GUACU,interior,Privada,NOGUEIRA E SONHO DE CRIANCA COLEGIO,16,15,93.75,M‚dio Alto,M‚dio ou M‚dio Alto,58.3,NaN,483.29
2525,SP,MARILIA,interior,Estadual,MARIA CECILIA FERRAZ DE FREITAS PROFA,63,35,55.56,M‚dio Alto,M‚dio ou M‚dio Alto,48.5,499.13,483.11
2526,SP,EMBU DAS ARTES,interior,Estadual,EULALIA MALTA PROFESSORA,184,102,55.43,M‚dio Alto,M‚dio ou M‚dio Alto,41.7,553.3,483.07
2527,SP,ITU,interior,Estadual,JOAO ANTONIO MOTTA NAVARRO PROFESSOR,38,20,52.63,M‚dio Alto,M‚dio ou M‚dio Alto,38.9,NaN,483.07
2528,SP,PIRACICABA,interior,Privada,SAO DIMAS COLEGIO,16,11,68.75,Alto,Alto ou Muito Alto,54.3,NaN,483.04
2529,SP,FRANCA,interior,Estadual,JOAO MARCIANO DE ALMEIDA DR,213,139,65.26,M‚dio Alto,M‚dio ou M‚dio Alto,54.7,553.98,483.04
2530,SP,HORTOLANDIA,interior,Estadual,HEDY MADALENA BOCCHI PROFESSORA,146,76,52.05,M‚dio Alto,M‚dio ou M‚dio Alto,52.4,545.09,483.01
2531,SP,MOGI DAS CRUZES,interior,Estadual,RUBENS MERCADANTE DE LIMA PROFESSOR DOUTOR,61,33,54.1,M‚dio Alto,M‚dio ou M‚dio Alto,59.7,496.5,482.94
2532,SP,MARACAI,interior,Estadual,LOURENCO LUCIANO CARNEIRO PROF,13,8,61.54,M‚dio Baixo,M‚dio Baixo,48,NaN,482.79
2533,SP,SOROCABA,interior,Estadual,GENESIO MACHADO PROFESSOR,195,106,54.36,M‚dio Alto,M‚dio ou M‚dio Alto,71.7,566.54,482.77
2534,SP,GARCA,interior,Privada,SESI 267 CENTRO EDUCACIONAL,25,23,92,M‚dio Alto,M‚dio ou M‚dio Alto,59,NaN,482.74
2535,SP,SAO ROQUE,interior,Estadual,HORACIO MANLEY LANE,292,158,54.11,M‚dio,M‚dio ou M‚dio Alto,64.7,578.17,482.64
2536,SP,TABATINGA,interior,Estadual,FERNANDO BRASIL PROF,27,19,70.37,M‚dio,M‚dio ou M‚dio Alto,55.9,NaN,482.62
2537,SP,MACATUBA,interior,Estadual,FERNANDO VALEZI,71,50,70.42,M‚dio Alto,M‚dio ou M‚dio Alto,46.3,521.71,482.54
2538,SP,VOTORANTIM,interior,Estadual,DANIEL VERANO PROFESSOR,110,59,53.64,M‚dio Alto,M‚dio ou M‚dio Alto,75.5,527.85,482.47
2539,SP,BAURU,interior,Estadual,ERNESTO MONTE,159,82,51.57,M‚dio Alto,M‚dio ou M‚dio Alto,47.9,549.7,482.42
2540,SP,SAO PAULO,capital,Estadual,ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR,123,70,56.91,M‚dio Alto,M‚dio ou M‚dio Alto,58.8,532.09,482.42
2541,SP,ARARAQUARA,interior,Estadual,ERGILIA MICELLI PROFA,127,68,53.54,M‚dio Alto,M‚dio ou M‚dio Alto,51.8,528.65,482.36
2542,SP,BIRIGUI,interior,Estadual,LYDIA HELENA FRANDSEN STUHR PROFESSORA,148,94,63.51,M‚dio Alto,M‚dio ou M‚dio Alto,68.6,567.18,482.29
2543,SP,JAGUARIUNA,interior,Estadual,CELSO HENRIQUE TOZZI PROFESSOR,26,22,84.62,M‚dio Alto,M‚dio ou M‚dio Alto,71.3,NaN,482.29
2544,SP,OSASCO,interior,Estadual,JOAO BAPTISTA DE BRITO PROFESSOR,105,58,55.24,M‚dio Alto,M‚dio ou M‚dio Alto,50.8,532.19,482.26
2545,SP,FARTURA,interior,Estadual,JOSE TROMBI MONSENHOR,80,49,61.25,M‚dio,M‚dio ou M‚dio Alto,80.9,528.5,482.24
2546,SP,SAO JOSE DOS CAMPOS,interior,Estadual,MARIA DOLORES VERISSIMO MADUREIRA PROFESSORA,56,38,67.86,M‚dio Alto,M‚dio ou M‚dio Alto,53.9,508.48,482.21
2547,SP,VOTUPORANGA,interior,Estadual,JURACI LIMA LUPO PROFA,72,36,50,M‚dio Alto,M‚dio ou M‚dio Alto,64.1,501.97,482.16
2548,SP,DRACENA,interior,Estadual,ISAC PEREIRA GARCEZ ENG,125,63,50.4,M‚dio Alto,M‚dio ou M‚dio Alto,83.8,532.48,482.09
